example_type,gene,pathway,series,pt,value,padj
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09266979992389679,0.4245909967253296,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09383555501699448,0.9190051585464248,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09383555501699448,0.42588396826922137,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09634840488433838,1.0695686989668893,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09634840488433838,0.42557080909345973,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09776635468006134,-0.374093812996584,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09776635468006134,0.4299371854498953,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09802744537591934,-0.9309194952403103,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09802744537591934,0.42724894720397627,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09912144392728806,0.7788868706216587,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09912144392728806,0.4327795314579606,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09921084344387054,0.9248442504131301,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09921084344387054,0.4382674278647644,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10011035948991776,0.3543904456564987,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10011035948991776,0.4398357237406274,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10023876279592514,0.3970853338415848,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10023876279592514,0.42751875470077694,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10059606283903122,0.5578198866936896,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10059606283903122,0.41947671288714183,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10079287737607956,0.32444810346694897,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10079287737607956,0.402657263068713,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10140495002269745,0.5917276023234492,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10140495002269745,0.40657968178515425,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10283184051513672,0.7301874272909945,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10283184051513672,0.41275500918215163,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10329514741897583,0.5967432079642827,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10329514741897583,0.41598381607717605,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10330966114997864,0.007199077407695556,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10330966114997864,0.4183926956283193,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10368351638317108,1.2733612399771623,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10368351638317108,0.42111273738772304,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10409539192914963,0.7256682114867796,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10409539192914963,0.42456218184114186,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10500454157590866,0.5591864908117877,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10500454157590866,0.42290496645082165,
Monotonic up,HBB,heme Metabolism,expression_raw,0.10961556434631348,-0.3870803822870077,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.10961556434631348,0.42058672865725005,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11017822474241257,0.6052488631354158,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11017822474241257,0.42428126289555035,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1119016483426094,-0.14351345656712428,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1119016483426094,0.42155357968008156,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11277671158313751,0.979275923909561,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11277671158313751,0.4118380417009729,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11289799958467484,1.038422917837019,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11289799958467484,0.40580896801455457,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11326286196708679,0.586545001336346,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11326286196708679,0.40046480768423093,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11466382443904877,1.1507828256466173,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11466382443904877,0.391267311706391,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11567654460668564,0.7597582431367788,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11567654460668564,0.39110350224861556,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11659640073776245,0.5696727261103549,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11659640073776245,0.38949933890524713,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11673951894044876,0.6560292370080157,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11673951894044876,0.3979240430848125,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11700008809566498,0.15451961416562185,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11700008809566498,0.4021457689412599,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11907044798135757,-0.12227364020921841,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11907044798135757,0.4010022835522552,
Monotonic up,HBB,heme Metabolism,expression_raw,0.11961036920547485,1.1669139632693237,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.11961036920547485,0.4056379593074587,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12026549875736237,-0.5075253927672707,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12026549875736237,0.4102506236132825,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12066932767629623,-0.8617278844414619,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12066932767629623,0.40731429215675197,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12077294290065765,0.8719722215268157,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12077294290065765,0.41158806518359414,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12345363944768906,0.7110741204800842,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12345363944768906,0.40812968937115207,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12380627542734146,-1.8301857962432575,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12380627542734146,0.40964181706314345,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12481126934289932,1.2759561791307819,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12481126934289932,0.4189044758666474,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12558569014072418,-0.6887272169923588,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12558569014072418,0.42054172070503454,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1259797066450119,0.6310672629091691,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1259797066450119,0.4237102745163003,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12619729340076447,0.53751769558273,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12619729340076447,0.42451976413969456,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12626725435256958,-0.9752395239167332,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12626725435256958,0.4320168928256694,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1275738775730133,0.05096756182120902,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1275738775730133,0.4330102812674085,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12834298610687256,1.1808002391386188,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12834298610687256,0.4291293338722992,
Monotonic up,HBB,heme Metabolism,expression_raw,0.12925097346305847,1.108696551234978,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.12925097346305847,0.4291418060169862,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13001559674739838,0.04819183871474702,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13001559674739838,0.4218091538976038,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13029734790325165,1.0079558425640067,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13029734790325165,0.4205138365711026,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13128222525119781,1.1779126751121778,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13128222525119781,0.4179032140189476,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13150666654109955,0.6742696484195019,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13150666654109955,0.41743070819989503,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13223305344581604,1.0597695958958635,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13223305344581604,0.42203595567613483,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13329529762268066,0.9343254494992844,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13329529762268066,0.4260232092709247,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13359814882278442,0.06871503054771974,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13359814882278442,0.42630324278189413,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13428053259849548,-0.6478865133744568,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13428053259849548,0.4268967502186146,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1346927136182785,1.1346915217762321,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1346927136182785,0.4267935005441217,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13558852672576904,0.41525718523705646,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13558852672576904,0.43884633816947727,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13661441206932068,-1.6937620888462865,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13661441206932068,0.44167654098380704,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1389099359512329,0.686051246702208,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1389099359512329,0.4395540746742797,
Monotonic up,HBB,heme Metabolism,expression_raw,0.13989511132240295,1.2600425950784453,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.13989511132240295,0.4348973938692181,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14016562700271606,0.10168550394738242,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14016562700271606,0.4221015580918432,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14048758149147034,1.0666213843119665,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14048758149147034,0.42584036057824576,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14154896140098572,0.9914979915688962,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14154896140098572,0.42594421902124074,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14162947237491608,0.45247110230947923,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14162947237491608,0.4235427743994808,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14208956062793732,0.86506106549908,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14208956062793732,0.4363218424094257,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1426856368780136,-0.2979653840411008,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1426856368780136,0.43547288683134694,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14301109313964844,0.8790603313389015,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14301109313964844,0.43429209407930464,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14336305856704712,1.1539645466132766,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14336305856704712,0.44178260748088993,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14337590336799622,0.8848825704642401,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14337590336799622,0.4426239280873381,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14341144263744354,1.0981187749094417,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14341144263744354,0.4446169347018215,
Monotonic up,HBB,heme Metabolism,expression_raw,0.143676295876503,0.5771446188053819,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.143676295876503,0.44513626242829235,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14484520256519318,0.3837257061399987,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14484520256519318,0.43990101818496935,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14547693729400635,1.3527736553980527,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14547693729400635,0.4494120520007978,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14667274057865143,0.2654677218689116,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14667274057865143,0.4503946322650892,
Monotonic up,HBB,heme Metabolism,expression_raw,0.147725448012352,0.6978539109116224,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.147725448012352,0.44864935638293224,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14786480367183685,0.6411896322009558,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14786480367183685,0.4470599429930628,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1487131267786026,-0.3013163984551253,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1487131267786026,0.444746325910409,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14894171059131622,1.2493453174959452,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14894171059131622,0.4483263590349265,
Monotonic up,HBB,heme Metabolism,expression_raw,0.14910061657428741,0.1374140816784419,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.14910061657428741,0.4414334914276083,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1493077278137207,0.5900913543434844,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1493077278137207,0.44022281575171884,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15024177730083466,0.3854864345959675,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15024177730083466,0.43869673457835207,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15129020810127258,0.9931997354300816,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15129020810127258,0.43583604007167304,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15341264009475708,0.077777975234501,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15341264009475708,0.4404772404010331,
Monotonic up,HBB,heme Metabolism,expression_raw,0.154006689786911,1.1572860687299096,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.154006689786911,0.45124573882520874,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1544705480337143,1.1626697535628652,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1544705480337143,0.4444985875684764,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1548634171485901,0.6484190752304122,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1548634171485901,0.44498986882274805,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1549820452928543,-1.222955096639189,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1549820452928543,0.44573178514240824,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1554914116859436,-0.6661989319536005,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1554914116859436,0.44903247215705655,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15613767504692078,-1.8847879122376012,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15613767504692078,0.4395502812855509,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15632933378219604,0.9439510459376033,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15632933378219604,0.4260283153167361,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1567331850528717,1.2649501899677922,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1567331850528717,0.4281313263995503,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1568877100944519,0.86478797448557,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1568877100944519,0.42491378701614835,
Monotonic up,HBB,heme Metabolism,expression_raw,0.157045379281044,0.7556358327883793,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.157045379281044,0.42890243824195745,
Monotonic up,HBB,heme Metabolism,expression_raw,0.157466858625412,0.8046386254636438,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.157466858625412,0.431521804231724,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1580020636320114,0.9143832942266129,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1580020636320114,0.42762893004704433,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1584623008966446,0.18592316563503253,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1584623008966446,0.4264342446904769,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15908609330654144,0.0867604863829413,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15908609330654144,0.41959902238723745,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1592242270708084,0.9599887274490945,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1592242270708084,0.42997814994092964,
Monotonic up,HBB,heme Metabolism,expression_raw,0.15929535031318665,0.023311830221638345,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.15929535031318665,0.43104185621773317,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16001857817173004,-1.0163460412280096,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16001857817173004,0.4367469911120851,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16018982231616974,-0.4864939375753529,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16018982231616974,0.43603932563027464,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16038073599338531,-0.395815081533988,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16038073599338531,0.4288915818703365,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16068905591964722,-0.9883570849695978,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16068905591964722,0.428666005238416,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16109728813171387,0.797550515651558,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16109728813171387,0.42303498283612484,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16134747862815857,0.3806324620655145,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16134747862815857,0.4236682694896549,
Monotonic up,HBB,heme Metabolism,expression_raw,0.16150352358818054,0.6975363899436002,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.16150352358818054,0.42811931590431085,
Monotonic up,HBB,heme Metabolism,expression_raw,0.1618564873933792,0.7935636932677905,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.1618564873933792,0.4195412933774897,
