mode,replicate,Pathway,log10P,NES
Varying seed,51,POS_PATH_3,10.874451133789208,2.6142085960052848
Varying seed,51,POS_PATH_4,8.83195485625548,2.465343219337845
Varying seed,51,NEG_PATH_0,7.559778455779845,-2.447602944403051
Varying seed,51,POS_PATH_7,7.176960111570682,2.4522076442761516
Varying seed,51,NEG_PATH_2,6.792485033351938,-2.45555673429132
Varying seed,52,POS_PATH_3,10.62718529918442,2.6629965639395223
Varying seed,52,POS_PATH_4,8.758847757920048,2.5113529700959676
Varying seed,52,NEG_PATH_2,7.644950065516657,-2.3876288092378046
Varying seed,52,NEG_PATH_0,7.3781620912093935,-2.402007728860869
Varying seed,52,POS_PATH_7,7.333958428717341,2.446952738988597
Varying seed,53,POS_PATH_3,10.461194367033064,2.6512533260759996
Varying seed,53,POS_PATH_4,8.313354908954418,2.500278447625134
Varying seed,53,NEG_PATH_2,7.715531139802364,-2.4386342320783183
Varying seed,53,POS_PATH_7,7.652249304258156,2.4579584969299706
Varying seed,53,NEG_PATH_0,7.459313488554745,-2.433756138014597
Varying seed,54,POS_PATH_3,10.60528345773659,2.6341333864309915
Varying seed,54,POS_PATH_4,8.752773610207855,2.4841333981505858
Varying seed,54,NEG_PATH_0,7.790433587870713,-2.419692877626734
Varying seed,54,NEG_PATH_2,7.667226460227809,-2.407744704672976
Varying seed,54,POS_PATH_7,7.652249304258156,2.4340462566133425
Varying seed,55,POS_PATH_3,10.619761281105214,2.5931428879122835
Varying seed,55,POS_PATH_4,8.777597193932888,2.4454770920949804
Varying seed,55,NEG_PATH_0,7.542287723619509,-2.4260162012098556
Varying seed,55,NEG_PATH_2,7.449973462300601,-2.4185639408043005
Varying seed,55,POS_PATH_7,7.410346774580796,2.37660594941034
Varying seed,56,POS_PATH_3,10.60528345773659,2.65257634511905
Varying seed,56,POS_PATH_4,8.610106106639122,2.5015261277191487
Varying seed,56,NEG_PATH_0,7.4231013159003005,-2.4299605569150753
Varying seed,56,NEG_PATH_2,7.3781620912093935,-2.4455538073957346
Varying seed,56,POS_PATH_7,7.341020283204827,2.4533135851075913
Varying seed,57,POS_PATH_3,10.098226900465102,2.723013228044767
Varying seed,57,POS_PATH_4,8.203690354626856,2.5679520020650455
Varying seed,57,NEG_PATH_0,7.559778455779845,-2.4689661064585344
Varying seed,57,NEG_PATH_2,7.51461629702165,-2.392416393041294
Varying seed,57,POS_PATH_7,7.153222264615896,2.4133337551936034
Varying seed,58,POS_PATH_3,10.60528345773659,2.6324218122938796
Varying seed,58,POS_PATH_4,8.421260306263937,2.482519289123567
Varying seed,58,NEG_PATH_0,7.553869596169324,-2.4412904188971347
Varying seed,58,NEG_PATH_2,7.385987428721351,-2.5066408841297236
Varying seed,58,POS_PATH_7,7.306806182673726,2.5182493749670973
Varying seed,59,POS_PATH_3,10.323010083420508,2.7301277891030113
Varying seed,59,POS_PATH_4,8.415727817663976,2.574661426435507
Varying seed,59,NEG_PATH_2,7.75136956503107,-2.4843099562991515
Varying seed,59,NEG_PATH_0,7.468858806460975,-2.4252065097646907
Varying seed,59,POS_PATH_7,7.113595576896089,2.5011408666545254
Varying seed,60,POS_PATH_3,10.451094040128739,2.6430023299858885
Varying seed,60,POS_PATH_4,8.344871960400482,2.4924973021975574
Varying seed,60,NEG_PATH_2,7.6907075560773315,-2.4589457465570557
Varying seed,60,NEG_PATH_0,7.597026513199474,-2.4675989557172593
Varying seed,60,POS_PATH_7,7.333958428717341,2.4444328703765184
Varying seed,61,POS_PATH_3,10.76828639805599,2.6491821940964555
Varying seed,61,POS_PATH_4,8.746783246518667,2.498325255676364
Varying seed,61,NEG_PATH_2,7.525474224609859,-2.4644235660704092
Varying seed,61,NEG_PATH_0,7.269017621784326,-2.4745606800117796
Varying seed,61,POS_PATH_7,7.239859393043113,2.452866305685235
