pseudotime,HBB,MKI67
0.18414856493473053,0.45323565720781167,-0.31475698500526156
0.1846989095211029,0.4602272696027071,-0.3170722582556081
0.1847798079252243,0.4738404240200669,-0.3266297725526567
0.1848459094762802,0.48306697016871863,-0.3176825025405961
0.18499088287353516,0.493733474503437,-0.30906730374892827
0.18565848469734192,0.5000577878412827,-0.30906730374892827
0.18576711416244507,0.490353845433278,-0.3195039001915937
0.18590271472930908,0.4915488301010256,-0.3366080159397526
0.18621541559696198,0.4799521211537481,-0.3366080159397526
0.1864847093820572,0.4788467903306131,-0.3355225009531453
0.18694692850112915,0.477003086727807,-0.3325342806906932
0.18709112703800201,0.4710878303118818,-0.3338919672793847
0.18816855549812317,0.47483226390692884,-0.3338919672793847
0.1882021725177765,0.4749272596951473,-0.3271495916482841
0.18872344493865967,0.47413774275169296,-0.3138318768466072
0.18890023231506348,0.4760771523726367,-0.325436025975548
0.18915817141532898,0.4784423625858441,-0.31008622543023473
0.18935231864452362,0.47825226193838394,-0.3036664584346097
0.18941447138786316,0.4804708933789609,-0.3036664584346097
0.18972836434841156,0.48070575626707396,-0.29719345348045784
0.18989123404026031,0.47955187361936036,-0.29719345348045784
0.19034206867218018,0.48000105345864047,-0.30854747300704244
0.19034543633460999,0.4625688418422848,-0.3132320596023068
0.19044239819049835,0.46038203123862004,-0.32123587932668773
0.1905445009469986,0.45902735898316327,-0.3139323032603342
0.19068123400211334,0.4551264871022871,-0.32189018941385317
0.19079774618148804,0.4519073598477088,-0.32147623771828004
0.19107016921043396,0.4587808026667388,-0.3098538396303807
0.19112645089626312,0.4559029053768043,-0.3173270048715127
0.19121211767196655,0.46260470591666514,-0.3148393990246529
0.19156071543693542,0.4554789818207554,-0.30771435718738915
0.19159622490406036,0.45608393537358316,-0.2936780609660064
0.19166536629199982,0.4718404672985177,-0.29513784302282603
0.19185374677181244,0.46837715285160225,-0.28825863841382177
0.19224779307842255,0.4719802278639244,-0.28771228841375973
