pattern,pt_mid,latent_signal,NES_current,padj_current,NES_weighted,padj_weighted
mixed_biphasic,0.38087965828180315,0.20107594691133224,2.4773714398471163,8.879158903214085e-05,2.469339662373087,0.00014836682799672073
mixed_biphasic,0.40682503187656405,0.15853480265800343,2.4198826898816157,0.0005890715395140194,2.4120372941667187,0.000796697424077306
mixed_biphasic,0.4314547888636589,0.09332692538825849,2.0659523261194845,0.0329363118996896,2.0592543925401867,0.027302469074742694
mixed_biphasic,0.45441700142621994,0.02355889206258152,1.046986269721242,0.7425742574257426,1.043591881378215,0.7623762376237624
mixed_biphasic,0.47523720198869707,-0.024790836802000074,-1.8574014647024593,0.04333725249959158,-1.8667699800831878,0.039870272299624254
mixed_biphasic,0.4940602997541428,-0.04627871065207128,-1.9743604650932902,0.014224058617440203,-1.9809090067012252,0.018600692038191036
mixed_biphasic,0.5102305881381035,-0.05063185864133294,-1.9513212474946606,0.024268861399771288,-1.9608572104064732,0.026435724024750862
mixed_biphasic,0.5230152608156204,-0.05098462187594465,-1.847556364529786,0.07552578435615095,-1.8569073272962713,0.07295104170764581
mixed_biphasic,0.5323066254854202,-0.05099096325643282,-1.923397970299648,0.04745429148705278,-1.9298556519877945,0.05070458542452215
mixed_biphasic,0.5385711268186569,-0.05099101271795764,-2.0056965644482694,0.022320830445829245,-2.0107867257928125,0.01574613038876568
mixed_biphasic,0.5429300777912139,-0.050991001142461495,-1.85591688786498,0.12230027580399444,-1.8652827564260637,0.11586341918273158
mixed_biphasic,0.546243482708931,-0.05099098487646599,-1.7030709269444204,0.1359733372543894,-1.7121642897774099,0.12407567024463033
mixed_biphasic,0.5489685533046722,-0.05099096338647882,-1.6383851423776894,0.20532640461379736,-1.6428204322038373,0.22215643777886274
mixed_biphasic,0.5513937456607818,-0.05099093685082467,-1.7530560317866148,0.12237600352895045,-1.7592100145500404,0.10877866980351153
mixed_biphasic,0.5535187532901764,-0.05099090407481938,-1.6700544211622015,0.16316800470526727,-1.679088919587567,0.17166633828366665
