pathway,ES_Py,NES_Py,Pvalue_Py,ES_R,NES_R,Pvalue_R,Regime,log10P_Py,log10P_R
NULL_PATH_36,-0.20524374563255507,-0.9483428809513348,0.59375,-0.205243745632555,-0.94730896010191,0.608778625954199,Synthetic small,0.22639637736707702,0.21554060392654517
NULL_PATH_28,0.2144418192119826,0.9338260257096176,0.625,0.214441819211983,0.933979831233754,0.615866388308977,Synthetic small,0.2041199826559248,0.21051349743640024
NULL_PATH_55,0.2169697988885587,0.9448345744298563,0.625,0.216969798888559,0.944990193113574,0.597077244258873,Synthetic small,0.2041199826559248,0.22396948028551997
NULL_PATH_89,0.22976410982296983,0.9568413546147173,0.625,0.22976410982297,0.961678387158207,0.547520661157025,Synthetic small,0.2041199826559248,0.26159948770760444
NULL_PATH_79,0.2554501513072444,0.9483029164733064,0.6336633663366337,0.255450151307244,0.949630320800209,0.529058116232465,Synthetic small,0.1981413997987554,0.2764966187535588
NULL_PATH_45,-0.21830262180966453,-0.907020485528435,0.640625,-0.218302621809665,-0.913179746019485,0.64299424184261,Synthetic small,0.19339611726415168,0.19179291626267947
NULL_PATH_56,-0.19344584352966468,-0.8972544931175579,0.671875,-0.193445843529665,-0.904741147482834,0.728301886792453,Synthetic small,0.17271151840430066,0.13768856492903397
NULL_PATH_19,-0.2487687996844129,-0.9550254733881756,0.671875,-0.248768799684413,-0.944255794582986,0.552475247524753,Synthetic small,0.17271151840430066,0.2576871748450634
NULL_PATH_43,-0.20208963064799385,-0.922392288389882,0.671875,-0.202089630647994,-0.914753560588322,0.683111954459203,Synthetic small,0.17271151840430066,0.16550811444525934
NULL_PATH_7,-0.18813663590611832,-0.905113091760524,0.6875,-0.188136635906118,-0.905644441501886,0.73921568627451,Synthetic small,0.16272729749769974,0.1312288258921434
NULL_PATH_22,0.23346033881021472,0.8901416456102579,0.6875,0.233460338810215,0.897673990949556,0.656441717791411,Synthetic small,0.16272729749769974,0.18280382671874817
NULL_PATH_54,-0.1958617089038687,-0.8743980525694519,0.6875,-0.195861708903868,-0.863761262204997,0.761627906976744,Synthetic small,0.16272729749769974,0.11825715125178476
NULL_PATH_78,0.1928002673309419,0.922415510561731,0.6875,0.192800267330942,0.933392565548504,0.658947368421053,Synthetic small,0.16272729749769974,0.18114927207841788
NULL_PATH_96,0.2515071844457258,0.8911744344659144,0.6875,0.251507184445726,0.89368808472319,0.63855421686747,Synthetic small,0.16272729749769974,0.19480222277528475
NULL_PATH_3,-0.19644573827471923,-0.8776968130634678,0.6875,-0.196445738274719,-0.876531046179399,0.762645914396887,Synthetic small,0.16272729749769974,0.11767705197481858
NULL_PATH_42,0.1885388651053107,0.889064968906541,0.71875,0.188538865105311,0.885309702660476,0.770661157024794,Synthetic small,0.1434221423023131,0.11313652983572453
NULL_PATH_39,0.1966961969120718,0.9042605878265962,0.71875,0.196696196912072,0.907070085545265,0.697722567287785,Synthetic small,0.1434221423023131,0.1563172298801733
NULL_PATH_37,0.19238739674539876,0.9040362248662364,0.71875,0.192387396745399,0.905163010326211,0.720250521920668,Synthetic small,0.1434221423023131,0.14251641834128917
NULL_PATH_16,0.18966778950983365,0.9138384466681193,0.71875,0.189667789509834,0.910728850724426,0.708595387840671,Synthetic small,0.1434221423023131,0.1496016787624591
