window_size,step,runtime_s,PathwayDisplay,pt_mid,NES,padj,window_id
1000,20,7.250539064407349,E2F Targets,0.35829645,-2.6230938068024257,0.346435546875,10
1000,20,7.250539064407349,E2F Targets,0.3614303,-2.6072668297007158,0.1732177734375,11
1000,20,7.250539064407349,E2F Targets,0.36564225,-2.6533793152121787,0.1732177734375,12
1000,20,7.250539064407349,E2F Targets,0.3682325,-2.620699626005882,0.207861328125,13
1000,20,7.250539064407349,E2F Targets,0.37009242,-2.7006534893010072,0.115478515625,14
1000,20,7.250539064407349,E2F Targets,0.37372428,-2.6746284919195924,0.115478515625,15
1000,20,7.250539064407349,E2F Targets,0.37779552,-2.67647362347279,0.12350312434181253,16
1000,20,7.250539064407349,E2F Targets,0.380655,-2.716424633647598,0.115478515625,17
1000,20,7.250539064407349,E2F Targets,0.38302577,-2.7250137365438567,0.08660888671875,18
1000,20,7.250539064407349,E2F Targets,0.38471907,-2.782426194832464,0.069287109375,19
1000,20,7.250539064407349,E2F Targets,0.3873989,-2.808412190759226,0.0362461761105885,20
1000,20,7.250539064407349,E2F Targets,0.38982022,-2.888366614849679,0.01482736167752361,21
1000,20,7.250539064407349,E2F Targets,0.39154613,-2.9002695100149993,0.010411725658149695,22
1000,20,7.250539064407349,E2F Targets,0.39426395,-2.950867047730062,0.0036850489688956783,23
1000,20,7.250539064407349,E2F Targets,0.39625216,-3.0843725250665206,0.00018810366514693323,24
1000,20,7.250539064407349,E2F Targets,0.39833453,-3.0594822272998363,0.0001804989081165338,25
1000,20,7.250539064407349,E2F Targets,0.40111244,-3.2042624929520347,4.223432326935544e-06,26
1000,20,7.250539064407349,E2F Targets,0.40462554,-3.196859211218726,3.971287113387153e-06,27
1000,20,7.250539064407349,E2F Targets,0.406891,-3.3364891520401527,3.007510892647882e-08,28
1000,20,7.250539064407349,E2F Targets,0.41076246,-3.399392746714586,9.686401228086605e-09,29
1000,20,7.250539064407349,E2F Targets,0.41614985,-3.336407508605167,9.955467928866788e-09,30
1000,20,7.250539064407349,E2F Targets,0.42104536,-3.4256216847468632,2.7099086662881803e-09,31
1000,20,7.250539064407349,E2F Targets,0.4246476,-3.4429095454213585,2.9157245143606993e-09,32
1000,20,7.250539064407349,E2F Targets,0.42807335,-3.467026255650683,4.897936994224591e-10,33
1000,20,7.250539064407349,E2F Targets,0.4337331,-3.5530151039699995,4.207771000286712e-11,34
1000,20,7.250539064407349,E2F Targets,0.4410996,-3.5582071036001697,7.131878245495661e-11,35
1000,20,7.250539064407349,E2F Targets,0.44515806,-3.5494440437105435,9.366386228294914e-11,36
1000,20,7.250539064407349,E2F Targets,0.44969702,-3.525476462826323,2.3668822528339802e-09,37
1000,20,7.250539064407349,E2F Targets,0.45418543,-3.484165181991578,6.547289718984465e-09,38
1000,20,7.250539064407349,E2F Targets,0.46078655,-3.550447787639038,3.758941730701379e-09,39
1000,20,7.250539064407349,E2F Targets,0.4678028,-3.4955728699876225,3.200976505625231e-08,40
1000,20,7.250539064407349,E2F Targets,0.47300965,-3.5533334443483957,3.5175565995881664e-08,41
