Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,window_id,pt_start,pt_end,pt_mid
E2F Targets,-0.6098901132165536,-3.046540619114639,0.00013050785796,0.0995037190209989,56,,0.0014029594730708,False,80,0.5572837,0.56948316,0.56338346
E2F Targets,-0.5842576973152375,-2.9185008386408207,0.0004310279557419,0.0995037190209989,56,,0.0046335505242261,False,81,0.5580049,0.56993365,0.56396925
E2F Targets,-0.5738770297717726,-2.8666470298327056,0.0008109241637929,0.0995037190209989,56,,0.0087174347607744,False,82,0.558827,0.5707003,0.56476367
E2F Targets,-0.565366687020671,-2.8241359211723616,0.0011410682119006,0.0995037190209989,56,,0.0122664832779318,False,83,0.5592526,0.5710441,0.56514835
E2F Targets,-0.5423539444253613,-2.709182008074664,0.0022597625372934,0.0995037190209989,56,,0.0242924472759042,False,84,0.5597518,0.5715261,0.56563896
E2F Targets,-0.5488013008609325,-2.741388028210464,0.0038499658042776,0.0995037190209989,56,,0.041387132395985,False,85,0.56045926,0.572182,0.56632066
E2F Targets,-0.5418293238124581,-2.7065614081137865,0.0053868340803672,0.0995037190209989,56,,0.0386056442426316,False,86,0.56102586,0.57300425,0.56701505
E2F Targets,-0.5223062357862265,-2.609039117796963,0.003766270895489,0.0995037190209989,56,,0.0399122968169976,False,87,0.56162256,0.5735809,0.56760174
E2F Targets,-0.5332115218915335,-2.663513516320436,0.0047238391166297,0.0995037190209989,56,,0.0384928385416666,False,88,0.56211287,0.57424086,0.56817687
E2F Targets,-0.5309673643736869,-2.652303436200013,0.0053868340803672,0.0995037190209989,56,,0.0577392578125,False,89,0.56276405,0.5746886,0.5687263
E2F Targets,-0.5262979844787276,-2.6289788155711493,0.0054697084508343,0.0995037190209989,56,,0.0587993658464697,False,90,0.563368,0.5751997,0.56928384
E2F Targets,-0.4981318341162654,-2.488282451908564,0.024169921875,0.125,56,,0.115478515625,False,91,0.56396264,0.5758269,0.5698948
E2F Targets,-0.5067803636824529,-2.531483835318511,0.0098474251966893,0.0995037190209989,56,,0.1058598208644107,False,92,0.56466687,0.5763225,0.57049465
E2F Targets,-0.4807653901005601,-2.401533091725641,0.024169921875,0.125,56,,0.1732177734375,False,93,0.5650605,0.5766721,0.5708663
E2F Targets,-0.4499708550385762,-2.2477073452837204,0.0322265625,0.125,56,,0.1979631696428571,False,94,0.56570446,0.57717675,0.5714406
E2F Targets,-0.3948725555426032,-1.972478736357208,0.14501953125,0.125,56,,0.41572265625,False,95,0.5661157,0.57775974,0.5719377
E2F Targets,-0.3701173843388302,-1.848820993804734,0.249755859375,0.125,56,,0.5279017857142857,False,96,0.5668923,0.578158,0.57252514
E2F Targets,-0.2943703850791586,-1.4704474064652426,0.625,0.125,56,,0.789453125,False,97,0.5673394,0.57855,0.5729447
E2F Targets,-0.2976470965285031,-1.486815329655369,0.703125,0.125,56,,0.7752403846153846,False,98,0.5680965,0.5789944,0.57354546
E2F Targets,0.3414707351045284,1.780176874501495,0.394775390625,0.125,56,,0.6528977614182693,False,99,0.5688797,0.57960206,0.5742409
E2F Targets,0.3590984233679793,1.8720746559846164,0.27392578125,0.125,56,,0.535400390625,False,100,0.56951237,0.5802133,0.57486284
E2F Targets,0.3827362938750053,1.9953051003920632,0.193359375,0.125,56,,0.4890854779411764,False,101,0.5699687,0.5805666,0.5752677
E2F Targets,0.4091929690311728,2.133230715817908,0.12890625,0.125,56,,0.3959263392857143,False,102,0.57072055,0.58112556,0.5759231
E2F Targets,0.455851900934232,2.376476016289528,0.04833984375,0.125,56,,0.23095703125,False,103,0.5710625,0.5818601,0.5764613
E2F Targets,0.4849585108774108,2.5282164396675983,0.008056640625,0.125,56,,0.069287109375,False,104,0.57155854,0.5822358,0.57689714
E2F Targets,0.5573569746935775,2.9056486989665418,0.0009176247116604,0.0995037190209989,56,,0.0131526208671333,False,105,0.572193,0.58278584,0.57748944
E2F Targets,0.553842954613294,2.887329186808232,0.0018172567819158,0.0995037190209989,56,,0.0195355104055951,False,106,0.5730358,0.5834959,0.57826585
E2F Targets,0.503923550480389,2.627086185898976,0.008056640625,0.125,56,,0.08660888671875,False,107,0.57361126,0.5841779,0.5788946
E2F Targets,0.5120156567950823,2.6692724673178363,0.0114886627294709,0.0995037190209989,56,,0.1235031243418125,False,108,0.57425976,0.5849586,0.57960916
E2F Targets,0.5382556618928601,2.806068524665375,0.0034314912603344,0.0995037190209989,56,,0.0368885310485953,False,109,0.57469136,0.58572596,0.58020866
E2F Targets,0.5214192814033534,2.718296039012825,0.008056640625,0.125,56,,0.0577392578125,False,110,0.57523036,0.5864023,0.5808163
E2F Targets,0.5659973260127376,2.950693125983776,0.0013523771400303,0.0995037190209989,56,,0.0280712724077115,False,111,0.5758998,0.5873221,0.5816109
E2F Targets,0.5827668657156462,3.0381171530120783,0.0004633550524226,0.0995037190209989,56,,0.0099621336270861,False,112,0.57635033,0.58778036,0.58206534
E2F Targets,0.6366962557983232,3.3192652667787352,2.1717125968411906e-05,0.0995037190209989,56,,0.0009338364166417,False,113,0.57670903,0.58830214,0.5825056
E2F Targets,0.6379889073841895,3.3260041999386805,1.3442283655950892e-05,0.0995037190209989,56,,0.0005780181972058,False,114,0.57721835,0.5892837,0.583251
E2F Targets,0.6329586764042512,3.2997802810393173,3.884632020156162e-05,0.0995037190209989,56,,0.0016703917686671,False,115,0.5778336,0.5898045,0.58381903
E2F Targets,0.6661398209928602,3.4727623266253045,2.750976642043377e-06,0.0995037190209989,56,,0.0001182919956078,False,116,0.5781652,0.59060305,0.5843841
E2F Targets,0.6416760226057736,3.3452261026562806,1.2734795042479792e-05,0.0995037190209989,56,,0.0005475961868266,False,117,0.5785594,0.5910609,0.58481014
E2F Targets,0.6595620552581265,3.438470701478345,2.4803887756128813e-06,0.0995037190209989,56,,0.0001066567173513,False,118,0.5790803,0.59181607,0.58544815
E2F Targets,0.6465152527000456,3.3704542836351794,1.4149772269421992e-05,0.0995037190209989,56,,0.0006084402075851,False,119,0.57963634,0.5925293,0.5860828
E2F Targets,0.6867609499674299,3.5802657029114293,6.094394201719298e-07,0.0995037190209989,56,,2.6205895067392983e-05,False,120,0.58022624,0.5933847,0.58680546
E2F Targets,0.6716616445067441,3.501549046873779,2.8862705752586253e-06,0.0995037190209989,56,,6.205481736806044e-05,False,121,0.5806254,0.59400475,0.5873151
E2F Targets,0.688040071874056,3.586934102290214,1.8177910744186304e-07,0.0995037190209989,56,,3.908250810000056e-06,False,122,0.58122325,0.59464943,0.58793634
E2F Targets,0.658566553869602,3.4332808905569405,3.833328107765362e-06,0.0995037190209989,56,,8.241655431695528e-05,False,123,0.5818719,0.5957686,0.5888202
E2F Targets,0.6721616999823088,3.504155967766416,1.1841568016067248e-06,0.0995037190209989,56,,2.545937123454458e-05,False,124,0.5822418,0.5967761,0.58950895
E2F Targets,0.6616047472056026,3.449119792579854,2.299996864659217e-06,0.0995037190209989,56,,4.944993259017317e-05,False,125,0.58285904,0.5980705,0.5904648
E2F Targets,0.6916142770993327,3.605567375460204,2.843963455138825e-07,0.0995037190209989,56,,6.114521428548474e-06,False,126,0.58351606,0.5989476,0.5912318
E2F Targets,0.7312873067562325,3.812393327660781,6.544932945261981e-09,0.0995037190209989,56,,1.407160583231326e-07,False,127,0.58422947,0.5998544,0.59204197
E2F Targets,0.7276853831493793,3.7936155512675023,8.854909278883857e-09,0.0995037190209989,56,,1.9038054949600293e-07,False,128,0.58496183,0.6008707,0.59291625
E2F Targets,0.7463793392718058,3.8910720679201,1.5706299235370415e-09,0.0995037190209989,56,,3.3768543356046394e-08,False,129,0.5857439,0.6015973,0.5936706
E2F Targets,0.7498823927372079,3.9093344082267807,1.8160408490897042e-09,0.0995037190209989,56,,3.9044878255428646e-08,False,130,0.5864408,0.6022969,0.5943688
E2F Targets,0.7577654921341139,3.95043108153752,4.38015559409601e-10,0.0995037190209989,56,,9.41733452730642e-09,False,131,0.58733857,0.60321397,0.59527624
E2F Targets,0.7545521954215888,3.933679319496191,9.789709099521576e-10,0.0995037190209989,56,,2.1047874563971398e-08,False,132,0.5878211,0.60387146,0.5958463
E2F Targets,0.7532665373482104,3.9269768453587104,1.4724655533159762e-09,0.0995037190209989,56,,3.1658009396293494e-08,False,133,0.5883079,0.6047593,0.5965336
E2F Targets,0.7664297810597688,3.995600301601807,5.569054969636356e-10,0.0995037190209989,56,,1.1973468184718164e-08,False,134,0.5893011,0.6057535,0.59752727
