Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,mode,window_start,window_cells,pt_mid
E2F Targets,-0.6778961270104686,-3.1245702507995317,1.220417858237647e-05,0.09950371902099892,56,,0.0001749265596807294,False,Terminal truncation audit,1300,500,0.5546554028987885
heme Metabolism,-0.7229559139476036,-4.376349146578802,3.1104631819066874e-09,0.09950371902099892,75,,1.3374991682198756e-07,False,Terminal truncation audit,1350,500,0.5566225349903107
E2F Targets,-0.6539666170086672,-3.014273950099935,7.418341399836036e-05,0.09950371902099892,56,,0.0007974717004823739,False,Terminal truncation audit,1350,500,0.5566225349903107
heme Metabolism,-0.692640825548441,-4.192839462676068,5.9057760336663067e-08,0.09950371902099892,75,,2.539483694476512e-06,False,Terminal truncation audit,1400,500,0.5581084489822388
E2F Targets,-0.6505556928005107,-2.998552260767473,3.5377898754993615e-05,0.09950371902099892,56,,0.00038031241161618135,False,Terminal truncation audit,1400,500,0.5581084489822388
heme Metabolism,-0.6677474463387426,-4.042149611804025,6.669337050938098e-07,0.09950371902099892,75,,1.4339074659516912e-05,False,Terminal truncation audit,1450,500,0.5599653124809265
E2F Targets,-0.6461853836072116,-2.978408557996374,0.00016051523747866002,0.09950371902099892,56,,0.0017255388028955953,False,Terminal truncation audit,1450,500,0.5599653124809265
heme Metabolism,-0.6439082082292675,-3.897840910066161,4.912142477194141e-06,0.09950371902099892,75,,7.040737550644936e-05,False,Terminal truncation audit,1500,500,0.5617309510707855
E2F Targets,-0.6407016195820655,-2.9531327004532146,6.520632319547844e-05,0.09950371902099892,56,,0.0007009679743513932,False,Terminal truncation audit,1500,500,0.5617309510707855
heme Metabolism,-0.596645208653739,-3.611738557396135,0.00011539642177522723,0.09950371902099892,75,,0.001654015378778257,False,Terminal truncation audit,1550,500,0.5631703436374664
E2F Targets,-0.6257468333783872,-2.884202847903166,0.0001986035989142743,0.09950371902099892,56,,0.0021349886883284485,False,Terminal truncation audit,1550,500,0.5631703436374664
E2F Targets,-0.5993124148940301,-2.7623608808194215,0.0008322642733664714,0.09950371902099892,56,,0.011929121251586091,False,Terminal truncation audit,1600,500,0.5647328495979309
heme Metabolism,-0.5443288593547229,-3.2950462028697127,0.001479162496908233,0.09950371902099892,75,,0.015900996841763507,False,Terminal truncation audit,1600,500,0.5647328495979309
heme Metabolism,-0.5327783344881698,-3.225126130750432,0.008056640625,0.125,75,,0.049401249736725016,False,Terminal truncation audit,1650,500,0.5664665699005127
E2F Targets,-0.5177516312842148,-2.3864295427499953,0.01033979645652384,0.09950371902099892,56,,0.049401249736725016,False,Terminal truncation audit,1650,500,0.5664665699005127
heme Metabolism,-0.515687559574147,-3.1216686490888677,0.002845626898813934,0.09950371902099892,75,,0.04078731888299972,False,Terminal truncation audit,1700,500,0.5678294897079468
E2F Targets,-0.4984307328875255,-2.2973753323132935,0.01950176362481621,0.09950371902099892,56,,0.0947280110886906,False,Terminal truncation audit,1700,500,0.5678294897079468
heme Metabolism,-0.495853799764349,-3.001606753000209,0.0065470752669078355,0.09950371902099892,75,,0.08660888671875,False,Terminal truncation audit,1750,500,0.569091409444809
E2F Targets,-0.5050110664760253,-2.3277055167644667,0.011816910236027245,0.09950371902099892,56,,0.08660888671875,False,Terminal truncation audit,1750,500,0.569091409444809
heme Metabolism,-0.450515437607756,-2.7271550212924485,0.01611328125,0.125,75,,0.09084571555226886,False,Terminal truncation audit,1800,500,0.5705638825893402
E2F Targets,-0.4936440947567866,-2.2753126791888296,0.040283203125,0.125,56,,0.1732177734375,False,Terminal truncation audit,1800,500,0.5705638825893402
heme Metabolism,-0.42789687171144175,-2.5902355499284653,0.024169921875,0.125,75,,0.14847237723214285,False,Terminal truncation audit,1850,500,0.5717684328556061
E2F Targets,-0.4215333324064072,-1.94293853833614,0.10962850316135145,0.09950371902099892,56,,0.31426837572920746,False,Terminal truncation audit,1850,500,0.5717684328556061
heme Metabolism,-0.38575348687627664,-2.3351243284844925,0.185302734375,0.125,75,,0.41936934621710525,False,Terminal truncation audit,1900,500,0.5731644928455353
E2F Targets,-0.33274047093426806,-1.5336729851270927,0.546875,0.125,56,,0.73486328125,False,Terminal truncation audit,1900,500,0.5731644928455353
heme Metabolism,-0.42095460443837107,-2.548211154153169,0.08056640625,0.125,75,,0.31494140625,False,Terminal truncation audit,1950,500,0.5746062397956848
E2F Targets,0.39465153076291604,2.109428677545586,0.217529296875,0.125,56,,0.4251708984375,False,Terminal truncation audit,1950,500,0.5746062397956848
E2F Targets,0.45795766958058803,2.4478025954891662,0.0322265625,0.125,56,,0.23095703125,False,Terminal truncation audit,2000,500,0.5761491060256958
heme Metabolism,-0.39339152347768597,-2.381360501835082,0.185302734375,0.125,75,,0.48908547794117646,False,Terminal truncation audit,2000,500,0.5761491060256958
E2F Targets,0.49052761621281793,2.621890300962754,0.024169921875,0.125,56,,0.115478515625,False,Terminal truncation audit,2050,500,0.5776974558830261
heme Metabolism,-0.4081944737717458,-2.4709688412046558,0.11279296875,0.125,75,,0.3320466543272307,False,Terminal truncation audit,2050,500,0.5776974558830261
E2F Targets,0.5431370166846583,2.903089712122388,0.006215577785039084,0.09950371902099892,56,,0.08660888671875,False,Terminal truncation audit,2100,500,0.579297661781311
heme Metabolism,-0.3912275709048859,-2.368261207932775,0.1611328125,0.125,75,,0.4075712316176471,False,Terminal truncation audit,2100,500,0.579297661781311
E2F Targets,0.6041007890671475,3.228943585047663,0.0002855560206790521,0.09950371902099892,56,,0.006139454444599619,False,Terminal truncation audit,2150,500,0.5810025930404663
heme Metabolism,-0.3925382931530221,-2.376195548162058,0.11279296875,0.125,75,,0.3558149511647567,False,Terminal truncation audit,2150,500,0.5810025930404663
E2F Targets,0.5970544562861027,3.1912806462744827,0.00034482236459357235,0.09950371902099892,56,,0.007413680838761805,False,Terminal truncation audit,2200,500,0.5825174152851105
heme Metabolism,-0.41757935305484783,-2.527779370932649,0.056396484375,0.125,75,,0.220458984375,False,Terminal truncation audit,2200,500,0.5825174152851105
E2F Targets,0.645554228311905,3.4505139242194014,2.6270716897272466e-05,0.09950371902099892,56,,0.001129640826582716,False,Terminal truncation audit,2250,500,0.5839657187461853
heme Metabolism,-0.40650997079199835,-2.4607718526530666,0.1611328125,0.125,75,,0.346435546875,False,Terminal truncation audit,2250,500,0.5839657187461853
E2F Targets,0.6978730596601893,3.7301602314525075,2.9319210877719843e-07,0.09950371902099892,56,,1.2607260677419532e-05,False,Terminal truncation audit,2300,500,0.5856091380119324
heme Metabolism,-0.3783708874177988,-2.2904344210968834,0.193359375,0.125,75,,0.42892020089285715,False,Terminal truncation audit,2300,500,0.5856091380119324
E2F Targets,0.692569225527547,3.7018110196840572,1.9937063396849497e-07,0.09950371902099892,56,,8.572937260645284e-06,False,Terminal truncation audit,2350,500,0.5870604515075684
heme Metabolism,0.36035697329257654,2.203605610783268,0.185302734375,0.125,75,,0.37942940848214285,False,Terminal truncation audit,2350,500,0.5870604515075684
E2F Targets,0.6999990093119878,3.741523519854943,1.3472322542920565e-07,0.09950371902099892,56,,2.8965493467279217e-06,False,Terminal truncation audit,2400,500,0.5891483724117279
heme Metabolism,0.38843825316645164,2.3753244076269895,0.08056640625,0.125,75,,0.23095703125,False,Terminal truncation audit,2400,500,0.5891483724117279
E2F Targets,0.7106052433731613,3.798214277511831,1.9643871288072299e-07,0.09950371902099892,56,,4.223432326935544e-06,False,Terminal truncation audit,2450,500,0.5908327996730804
heme Metabolism,0.4295721501234002,2.626860780850213,0.0322265625,0.125,75,,0.13857421875,False,Terminal truncation audit,2450,500,0.5908327996730804
E2F Targets,0.7380264359376313,3.9447816805475524,1.181786911857857e-08,0.09950371902099892,56,,2.5408418604943925e-07,False,Terminal truncation audit,2500,500,0.5925779640674591
heme Metabolism,0.46075575917439987,2.8175505162017846,0.024169921875,0.125,75,,0.1039306640625,False,Terminal truncation audit,2500,500,0.5925779640674591
E2F Targets,0.769427163776408,4.11261986343987,4.067287337374867e-10,0.09950371902099892,56,,8.744667775355963e-09,False,Terminal truncation audit,2550,500,0.5945082902908325
heme Metabolism,0.5057393379301399,3.0926279363320135,0.01611328125,0.125,75,,0.07698567708333333,False,Terminal truncation audit,2550,500,0.5945082902908325
E2F Targets,0.7784335471759208,4.160759353453191,1.8957957733994067e-10,0.09950371902099892,56,,4.075960912808724e-09,False,Terminal truncation audit,2600,500,0.5964472591876984
heme Metabolism,0.45412204234907144,2.776984919584975,0.088623046875,0.125,75,,0.2931377704326923,False,Terminal truncation audit,2600,500,0.5964472591876984
E2F Targets,0.7878772128824335,4.2112361353979155,7.492398245513572e-11,0.09950371902099892,56,,1.610865622785418e-09,False,Terminal truncation audit,2650,500,0.5988590717315674
heme Metabolism,0.46142931957332867,2.8216693805065853,0.024052175137273327,0.09950371902099892,75,,0.115478515625,False,Terminal truncation audit,2650,500,0.5988590717315674
E2F Targets,0.7834829875284192,4.187748819994788,6.443859154115468e-10,0.09950371902099892,56,,1.3854297181348257e-08,False,Terminal truncation audit,2700,500,0.6020173728466034
heme Metabolism,0.4685186108466382,2.8650208435949884,0.008056640625,0.125,75,,0.043304443359375,False,Terminal truncation audit,2700,500,0.6020173728466034
E2F Targets,0.7975272332818126,4.262815891670492,2.1560686104144795e-11,0.09950371902099892,56,,4.635547512391131e-10,False,Terminal truncation audit,2750,500,0.6044897437095642
heme Metabolism,0.5066958014410654,3.09847677100261,0.004972462228031267,0.09950371902099892,75,,0.03054512511504921,False,Terminal truncation audit,2750,500,0.6044897437095642
E2F Targets,0.8131971087090609,4.346572020871119,3.1425656895696923e-12,0.09950371902099892,56,,6.756516232574838e-11,False,Terminal truncation audit,2800,500,0.607338160276413
heme Metabolism,0.5473294252180099,3.346953942189839,0.008056640625,0.125,75,,0.043304443359375,False,Terminal truncation audit,2800,500,0.607338160276413
E2F Targets,0.8188424542712298,4.376746625288523,1.824866115774878e-12,0.09950371902099892,56,,3.923462148915988e-11,False,Terminal truncation audit,2850,500,0.6109472811222076
heme Metabolism,0.5727765831013727,3.5025649169904787,0.0007682439446459735,0.09950371902099892,75,,0.006606897923955373,False,Terminal truncation audit,2850,500,0.6109472811222076
E2F Targets,0.8186776154612276,4.375865555063561,1.9571027908310287e-12,0.09950371902099892,56,,4.207771000286712e-11,False,Terminal truncation audit,2900,500,0.6162081658840179
heme Metabolism,0.5965376140714274,3.6478651194125256,0.008056640625,0.125,75,,0.04949079241071429,False,Terminal truncation audit,2900,500,0.6162081658840179
E2F Targets,0.8167402762324424,4.365510397136177,5.2899855774423106e-12,0.09950371902099892,56,,1.1373468991500967e-10,False,Terminal truncation audit,2950,500,0.6229340434074402
heme Metabolism,0.5899294691891344,3.6074558968395887,0.00029633171957260126,0.09950371902099892,75,,0.0031855659854054634,False,Terminal truncation audit,2950,500,0.6229340434074402
E2F Targets,0.7910949252563144,4.228434940491707,4.3175819427517817e-10,0.09950371902099892,56,,9.282801176916331e-09,False,Terminal truncation audit,3000,500,0.643031120300293
heme Metabolism,0.720109113592472,4.4035126296839335,1.0674204365167741e-08,0.09950371902099892,75,,1.5299692923407095e-07,False,Terminal truncation audit,3000,500,0.643031120300293
heme Metabolism,0.802282479365293,4.906007942094375,4.787820609605809e-13,0.09950371902099892,75,,2.0587628621304978e-11,False,Terminal truncation audit,3050,500,0.6909124255180359
E2F Targets,0.7332167164988757,3.919073532157892,2.3748560810953078e-07,0.09950371902099892,56,,3.4039603829032742e-06,False,Terminal truncation audit,3050,500,0.6909124255180359
heme Metabolism,0.8211332239587836,5.021281433749362,2.89346788177285e-14,0.09950371902099892,75,,1.2441911891623255e-12,False,Terminal truncation audit,3100,476,0.8032417297363281
E2F Targets,0.6302953830887948,3.3689547683797287,0.0023016099916877406,0.09950371902099892,56,,0.016494871607095476,False,Terminal truncation audit,3100,476,0.8032417297363281
heme Metabolism,0.8325773024905944,5.091262695475821,7.771636902708434e-16,0.09950371902099892,75,,3.341803868164627e-14,False,Terminal truncation audit,3150,426,0.8048118948936462
E2F Targets,0.6049012376456698,3.2332220156498996,0.00563545719176877,0.09950371902099892,56,,0.048464931849211426,False,Terminal truncation audit,3150,426,0.8048118948936462
heme Metabolism,0.8443043621205486,5.16297440445828,3.559492489194294e-16,0.09950371902099892,75,,1.5305817703535465e-14,False,Terminal truncation audit,3200,376,0.8071787059307098
E2F Targets,0.5808699642397571,3.104773870060864,0.017226557868587653,0.09950371902099892,56,,0.12345699805821152,False,Terminal truncation audit,3200,376,0.8071787059307098
heme Metabolism,0.8411129036396776,5.1434584346387675,5.249332541715549e-15,0.09950371902099892,75,,2.2572129929376862e-13,False,Terminal truncation audit,3250,326,0.8087705969810486
E2F Targets,0.5463499326200882,2.920262880055216,0.04698905333521892,0.09950371902099892,56,,0.2694498697916667,False,Terminal truncation audit,3250,326,0.8087705969810486
heme Metabolism,0.8397104065810577,5.134882076703346,1.1066429703692539e-14,0.09950371902099892,75,,4.758564772587792e-13,False,Terminal truncation audit,3300,276,0.8106247186660767
E2F Targets,0.49294305229696345,2.6348009062626376,0.185302734375,0.125,56,,0.531201171875,False,Terminal truncation audit,3300,276,0.8106247186660767
heme Metabolism,0.8476539335016327,5.183457244630998,1.4535839392102796e-15,0.09950371902099892,75,,6.250410938604202e-14,False,Terminal truncation audit,3350,226,0.8132745623588562
E2F Targets,0.43818235161605684,2.3421027069284293,0.33837890625,0.125,56,,0.808349609375,False,Terminal truncation audit,3350,226,0.8132745623588562
