Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,mode,window_start,window_cells,pt_mid
E2F Targets,-0.6778961270104686,-3.1245702507995317,1.220417858237647e-05,0.09950371902099892,56,,0.0001749265596807294,False,Full windows only,1300,500,0.5546554028987885
heme Metabolism,-0.7229559139476036,-4.376349146578802,3.1104631819066874e-09,0.09950371902099892,75,,1.3374991682198756e-07,False,Full windows only,1350,500,0.5566225349903107
E2F Targets,-0.6539666170086672,-3.014273950099935,7.418341399836036e-05,0.09950371902099892,56,,0.0007974717004823739,False,Full windows only,1350,500,0.5566225349903107
heme Metabolism,-0.692640825548441,-4.192839462676068,5.9057760336663067e-08,0.09950371902099892,75,,2.539483694476512e-06,False,Full windows only,1400,500,0.5581084489822388
E2F Targets,-0.6505556928005107,-2.998552260767473,3.5377898754993615e-05,0.09950371902099892,56,,0.00038031241161618135,False,Full windows only,1400,500,0.5581084489822388
heme Metabolism,-0.6677474463387426,-4.042149611804025,6.669337050938098e-07,0.09950371902099892,75,,1.4339074659516912e-05,False,Full windows only,1450,500,0.5599653124809265
E2F Targets,-0.6461853836072116,-2.978408557996374,0.00016051523747866002,0.09950371902099892,56,,0.0017255388028955953,False,Full windows only,1450,500,0.5599653124809265
heme Metabolism,-0.6439082082292675,-3.897840910066161,4.912142477194141e-06,0.09950371902099892,75,,7.040737550644936e-05,False,Full windows only,1500,500,0.5617309510707855
E2F Targets,-0.6407016195820655,-2.9531327004532146,6.520632319547844e-05,0.09950371902099892,56,,0.0007009679743513932,False,Full windows only,1500,500,0.5617309510707855
heme Metabolism,-0.596645208653739,-3.611738557396135,0.00011539642177522723,0.09950371902099892,75,,0.001654015378778257,False,Full windows only,1550,500,0.5631703436374664
E2F Targets,-0.6257468333783872,-2.884202847903166,0.0001986035989142743,0.09950371902099892,56,,0.0021349886883284485,False,Full windows only,1550,500,0.5631703436374664
E2F Targets,-0.5993124148940301,-2.7623608808194215,0.0008322642733664714,0.09950371902099892,56,,0.011929121251586091,False,Full windows only,1600,500,0.5647328495979309
heme Metabolism,-0.5443288593547229,-3.2950462028697127,0.001479162496908233,0.09950371902099892,75,,0.015900996841763507,False,Full windows only,1600,500,0.5647328495979309
heme Metabolism,-0.5327783344881698,-3.225126130750432,0.008056640625,0.125,75,,0.049401249736725016,False,Full windows only,1650,500,0.5664665699005127
E2F Targets,-0.5177516312842148,-2.3864295427499953,0.01033979645652384,0.09950371902099892,56,,0.049401249736725016,False,Full windows only,1650,500,0.5664665699005127
heme Metabolism,-0.515687559574147,-3.1216686490888677,0.002845626898813934,0.09950371902099892,75,,0.04078731888299972,False,Full windows only,1700,500,0.5678294897079468
E2F Targets,-0.4984307328875255,-2.2973753323132935,0.01950176362481621,0.09950371902099892,56,,0.0947280110886906,False,Full windows only,1700,500,0.5678294897079468
heme Metabolism,-0.495853799764349,-3.001606753000209,0.0065470752669078355,0.09950371902099892,75,,0.08660888671875,False,Full windows only,1750,500,0.569091409444809
E2F Targets,-0.5050110664760253,-2.3277055167644667,0.011816910236027245,0.09950371902099892,56,,0.08660888671875,False,Full windows only,1750,500,0.569091409444809
