level	axis	protein_name	left_out_unit	n_units_remaining	spearman_refit	direction_preserved
guide	immune_evasion_antigen_presentation	HLA_A	CDKN1A_3	740	0.5644737175254945	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2A_1	740	0.5650777697213136	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2A_2	740	0.5664423804299882	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2A_3	740	0.5650668424117609	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2B_1	740	0.5640122533933516	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2B_2	740	0.5639619700014259	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN2B_3	740	0.5652298636559017	True
guide	immune_evasion_antigen_presentation	HLA_A	CGAS_1	740	0.5653283871217066	True
guide	immune_evasion_antigen_presentation	HLA_A	CGAS_2	740	0.5649485668715069	True
guide	immune_evasion_antigen_presentation	HLA_A	CGAS_3	740	0.5650850545943488	True
guide	immune_evasion_antigen_presentation	HLA_A	CHCHD2_1	740	0.5653407654832054	True
guide	immune_evasion_antigen_presentation	HLA_A	CHCHD2_2	740	0.5659796725390344	True
guide	immune_evasion_antigen_presentation	HLA_A	CHCHD2_3	740	0.5648115461091745	True
guide	immune_evasion_antigen_presentation	HLA_A	CITED1_1	740	0.56490376194101	True
guide	immune_evasion_antigen_presentation	HLA_A	CITED1_2	740	0.5652882610934031	True
guide	immune_evasion_antigen_presentation	HLA_A	CITED1_3	740	0.5649337898323014	True
guide	immune_evasion_antigen_presentation	HLA_A	CKS1B_1	740	0.5652543538591541	True
guide	immune_evasion_antigen_presentation	HLA_A	CKS1B_2	740	0.5652691308983596	True
guide	immune_evasion_antigen_presentation	HLA_A	CKS1B_3	740	0.5638222248150316	True
guide	immune_evasion_antigen_presentation	HLA_A	CMSS1_1	740	0.5645339509879073	True
guide	immune_evasion_antigen_presentation	HLA_A	CMSS1_2	740	0.5663999445638931	True
guide	immune_evasion_antigen_presentation	HLA_A	CMSS1_3	740	0.5640646097166289	True
guide	immune_evasion_antigen_presentation	HLA_A	CORO1A_1	740	0.5642041179965829	True
guide	immune_evasion_antigen_presentation	HLA_A	CORO1A_2	740	0.5660732209695959	True
guide	immune_evasion_antigen_presentation	HLA_A	CORO1A_3	740	0.5659077122078332	True
guide	immune_evasion_antigen_presentation	HLA_A	CSPG4_1	740	0.5654595148363398	True
guide	immune_evasion_antigen_presentation	HLA_A	CSPG4_2	740	0.5656380534523118	True
guide	immune_evasion_antigen_presentation	HLA_A	CSPG4_3	740	0.5650404865702922	True
guide	immune_evasion_antigen_presentation	HLA_A	CST3_1	740	0.5651175403899569	True
guide	immune_evasion_antigen_presentation	HLA_A	CST3_2	740	0.5637099311623919	True
guide	immune_evasion_antigen_presentation	HLA_A	CST3_3	740	0.5661271764113442	True
guide	immune_evasion_antigen_presentation	HLA_A	CTPS1_1	740	0.5684565885976042	True
guide	immune_evasion_antigen_presentation	HLA_A	CTPS1_2	740	0.5671509675925316	True
guide	immune_evasion_antigen_presentation	HLA_A	CTPS1_3	740	0.5649316872876449	True
